part,time,area,code,hint
6,3138,潘瑟罗村,HEART_PANSELO_1,"你的家乡…就在某个高处…"
9,894,潘瑟罗村,HEART_PANSELO_2,"你的家乡…去你朋友的房间找找吧…"
1,5742,阿努利寺院,HEART_ANURI_1,"在阿努利的古老寺院中…关闭的门扉的另一侧…"
16,1233,向日葵大道,HEART_FLOWER_1,"大大的花朵…居民的东侧道路…叶子上…"
4,4660,南卡斯特拉大桥,HEART_ATELO_1,"从西往东的已毁之桥下…就在水边…"
3,2126,亚泰,HEART_ATAI_6,"在制作炸弹的男人家附近…有两个洞窟…去更暗的那个寻找…"
22,1703,阿达尔的家,HEART_EX_VAULT,"制作炸弹的男人家中…隐藏着秘密…"
16,4763,亚泰镇,HEART_ATAI_5,"在活力十足的沙漠城镇…有个闲得无聊的囚犯…去听他怎么说吧…"
18,6191,亚泰镇,HEART_ATAI_1,"在活力十足的沙漠城镇…隐藏在悬挂卷轴后的门…去那里寻找吧…"
16,5045,亚泰镇,HEART_ATAI_2,"在活力十足的沙漠城镇…装备店的上方…仿佛迷宫般的地方…"
12,4849,亚泰镇,HEART_ATAI_4,"在活力十足的沙漠城镇…安慰沮丧镇长的老人…去帮助他吧…"
6,6093,亚泰镇,HEART_ATAI_3,"在活力十足的沙漠城镇…射击目标，赢取奖品吧…"
17,1145,流沙荒漠,HEART_BANDIT_1,"在沙暴肆虐之地的…南边…寻找有印记的树木吧…"
17,2872,流沙荒漠,HEART_OGEO_1,"在沙暴肆虐之地…西边的遗迹…去寻找那…喧嚣的风声吧…"
7,4038,流沙古迹,HEART_BANDIT_2,"在盗贼的巢穴…有着被忘却的高塔…就去那里寻找吧…"
4,2018,衔尾蛇据点,HEART_BANDIT_3,"到盗贼的巢穴…有个橙色头发的少女…去救她吧…"
7,3181,衔尾蛇据点,HEART_BANDIT_4,"在盗贼的巢穴…有个喜爱毁坏箱子的男人…去通过他的试炼吧…"
5,2825,古董商,HEART_ASTRID_1,"在古董商家的下方…隐藏着宝物…"
21,6217,古董商,HEART_ASTRID_2,"有个古董商…去帮帮他吧…"
18,5720,GEO总部,HEART_GEO_1,"有个快乐的冒险家…去把票券交给前台小妹吧…"
20,1106,GEO总部,HEART_GEO_2,"有个快乐的冒险家…去寻找会长祖先留下的遗物吧…"
5,7195,湖畔实验室,HEART_FRAN_1,"矮个子的科学家…给她月光石吧…"
17,3794,湖畔实验室,HEART_FRAN_2,"矮个子的科学家…给她月光石吧…"
5,5196,托马斯实验室,HEART_THOMAS_1,"在高个子科学家的研究所…去打击拳击沙包吧…"
17,4296,托马斯实验室,HEART_FLORET_1,"在高个子科学家的研究所…有个正在寻求帮助的女人…"
13,299,蒂亚市,HEART_DAEA_1,"在大城市的射击场…射击目标，赢取奖品吧…"
17,3991,蒂亚市,HEART_DAEA_2,"在大城市的旅店…华丽的阳台上…"
13,4504,蒂亚市,HEART_DAEA_3,"有个乐队…去帮助他们吧…"
18,521,蒂亚市,HEART_BOSS_KATASH,"在大城市的隧道中…演奏王家的赞美歌吧…"
6,1099,地下水路,HEART_SEWERS_1,"在大城市的地下…有地下水路…去那里寻找吧…"
18,1138,白色高塔,HEART_TOWER_2,"在大城市城堡的王座右边…宝物就在那里…"
8,6417,白色高塔,HEART_TOWER_1,"在城堡的塔顶上…解开沙漏与开关的谜题吧…"
18,3029,地底隧道,HEART_SUBTERRA_1,"在大城市的地下…有一条水路…到深处去…在开关旁的房间里寻找吧…"
14,3393,地底隧道,HEART_SUBTERRA_2,"在大城市的地下…有一条水路…到最深处去…最后的阿努利就在那里…帮助他吧…"
9,3560,麦田大道,HEART_WHEAT_1,"闪耀着黄金光辉的街道…就在那小小的家中…"
17,4685,麦田大道,HEART_WHEAT_2,"闪耀着黄金光辉的街道…就在高大的筒仓下…"
17,5689,珂赛特村,HEART_BARN_1,"在人与机械共存之地…去村长之家的高处寻找吧。"
10,1719,普奇牧场,HEART_POOKI_1,"在人与机械共存之地…有一对陷入苦恼的情侣…"
21,5943,边远海滩,HEART_FISH_1,"在人与机械共存之地…到波浪安静地拍击的地方…寻找发光的鲨鱼吧…"
10,4406,皇家档案馆,HEART_ROYARC_1,"在隐藏的知识宝库中…被大量利刃所保护…有着强者专属的宝物…"
18,4537,皇家档案馆,HEART_ROYARC_2,"在隐藏的知识宝库中…在巨龙的化石之后…有个梯子…"
7,696,最初高墙,HEART_WALL_1,"在充满活力的高墙下…去帮助那位服务生吧…"
19,7154,最终高墙,HEART_WALL_2,"在充满悲伤的高墙下…去帮助那位老兵吧…"
11,1750,最终高墙,HEART_WALL_3,"在充满悲伤的高墙下…去证明那位橙色头发少女的无罪吧…"
14,5734,最终高墙外,HEART_SCORCH_2,"钢铁与火焰的死亡领域的东北方…那里有个洞窟…"
13,6645,焦土地带,HEART_SCORCH_1,"在钢铁与火焰的死亡领域…巨大的门扉后隐藏着什么东西…"
19,2089,焦土地带,HEART_SCORCH_3,"在钢铁与火焰的死亡领域…巨大的钢铁士兵之上…有个监视塔…"
14,1924,缪尔洞窟,HEART_MUL_1,"在群虫肆虐的洞窟中…仔细看看最初的虫巢上方…"
19,5690,缪尔洞窟,HEART_BOSS_QUEEN,"在群虫肆虐的洞窟中…就在女王阿里阿德涅的身上…"
15,1749,缪尔洞窟,HEART_MUL_2,"在群虫肆虐的洞窟中…寻找那隐藏通路通向的迷宫吧…"
16,6618,特拉鲁姆,HEART_TERRA_1,"在生有翅膀的种族与绿色巨人的村子…寻找肯与你交易的对象…"
21,5023,普利斯汀城,HEART_MEGALITH_1,"从钢铁的蓝色都市…向东走…宝物就在那里…"
20,5873,E.D.E.N,HEART_PHOENIX_1,"在水中的实验室里…Ｄ…４…"
21,1328,E.D.E.N,HEART_PHOENIX_2,"在水中的实验室里…Ａ…５…"
21,427,E.D.E.N,HEART_PHOENIX_3,"在水中的实验室里…Ｃ…４…"